# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
1.00000e+05,1.70000e+03,7.74598e+03,-4.25770e+00,6.84009e+02
1.00000e+05,1.80000e+03,7.70219e+03,-4.23535e+00,7.10171e+02
1.00000e+05,1.90000e+03,7.65637e+03,-4.21325e+00,7.37420e+02
1.00000e+05,2.00000e+03,7.60846e+03,-4.19139e+00,7.65767e+02
1.00000e+05,2.10000e+03,7.55841e+03,-4.16972e+00,7.95246e+02
1.00000e+05,2.20000e+03,7.50617e+03,-4.14823e+00,8.25906e+02
1.00000e+05,2.30000e+03,7.45168e+03,-4.12687e+00,8.57815e+02
1.00000e+05,2.40000e+03,7.39487e+03,-4.10560e+00,8.91065e+02
1.00000e+05,2.50000e+03,7.33568e+03,-4.08438e+00,9.25769e+02
1.00000e+05,2.60000e+03,7.27404e+03,-4.06315e+00,9.62062e+02
1.00000e+05,2.70000e+03,7.20986e+03,-4.04185e+00,1.00011e+03
1.00000e+05,2.80000e+03,7.14306e+03,-4.02045e+00,1.04011e+03
1.00000e+05,2.90000e+03,7.07353e+03,-3.99885e+00,1.08229e+03
1.00000e+05,3.00000e+03,7.00117e+03,-3.97699e+00,1.12692e+03
1.00000e+05,3.10000e+03,6.92585e+03,-3.95481e+00,1.17432e+03
1.00000e+05,3.20000e+03,6.84741e+03,-3.93221e+00,1.22490e+03
1.00000e+05,3.30000e+03,6.76570e+03,-3.90913e+00,1.27906e+03
1.00000e+05,3.40000e+03,6.68054e+03,-3.88546e+00,1.33737e+03
1.00000e+05,3.50000e+03,6.59171e+03,-3.86120e+00,1.40030e+03
1.00000e+05,3.60000e+03,6.49898e+03,-3.83621e+00,1.46862e+03
1.00000e+05,3.70000e+03,6.40210e+03,-3.81050e+00,1.54298e+03
1.00000e+05,3.80000e+03,6.30080e+03,-3.78407e+00,1.62406e+03
1.00000e+05,3.90000e+03,6.19483e+03,-3.75701e+00,1.71243e+03
1.00000e+05,4.00000e+03,6.08393e+03,-3.72950e+00,1.80837e+03
1.00000e+05,4.10000e+03,5.96795e+03,-3.70193e+00,1.91149e+03
1.00000e+05,4.20000e+03,5.84686e+03,-3.67490e+00,2.02025e+03
1.00000e+05,4.30000e+03,5.72088e+03,-3.64936e+00,2.13118e+03
1.00000e+05,4.40000e+03,5.59062e+03,-3.62669e+00,2.23807e+03
1.00000e+05,4.50000e+03,5.45725e+03,-3.60864e+00,2.33147e+03
1.00000e+05,4.60000e+03,5.32258e+03,-3.59723e+00,2.39937e+03
1.00000e+05,4.70000e+03,5.18904e+03,-3.59432e+00,2.42977e+03
1.00000e+05,4.80000e+03,5.05940e+03,-3.60108e+00,2.41495e+03
1.00000e+05,4.90000e+03,4.93630e+03,-3.61757e+00,2.35490e+03
1.00000e+05,5.00000e+03,4.82178e+03,-3.64275e+00,2.25749e+03
1.00000e+05,5.10000e+03,4.71701e+03,-3.67481e+00,2.13512e+03
1.00000e+05,5.20000e+03,4.62229e+03,-3.71175e+00,2.00039e+03
1.00000e+05,5.30000e+03,4.53729e+03,-3.75174e+00,1.86332e+03
1.00000e+05,5.40000e+03,4.46128e+03,-3.79337e+00,1.73054e+03
1.00000e+05,5.50000e+03,4.39339e+03,-3.83562e+00,1.60574e+03
1.00000e+05,5.60000e+03,4.33269e+03,-3.87780e+00,1.49057e+03
1.00000e+05,5.70000e+03,4.27830e+03,-3.91950e+00,1.38536e+03
1.00000e+05,5.80000e+03,4.22945e+03,-3.96046e+00,1.28977e+03
1.00000e+05,5.90000e+03,4.18543e+03,-4.00055e+00,1.20307e+03
1.00000e+05,6.00000e+03,4.14566e+03,-4.03973e+00,1.12444e+03
1.00000e+05,6.10000e+03,4.10961e+03,-4.07799e+00,1.05301e+03
1.00000e+05,6.20000e+03,4.07684e+03,-4.11536e+00,9.87989e+02
1.00000e+05,6.30000e+03,4.04698e+03,-4.15190e+00,9.28631e+02
1.00000e+05,6.40000e+03,4.01969e+03,-4.18765e+00,8.74285e+02
1.00000e+05,6.50000e+03,3.99470e+03,-4.22269e+00,8.24378e+02
1.00000e+05,6.60000e+03,3.97177e+03,-4.25706e+00,7.78407e+02
1.00000e+05,6.70000e+03,3.95069e+03,-4.29085e+00,7.35935e+02
1.00000e+05,6.80000e+03,3.93127e+03,-4.32410e+00,6.96581e+02
1.00000e+05,6.90000e+03,3.91336e+03,-4.35690e+00,6.60015e+02
1.00000e+05,7.00000e+03,3.89682e+03,-4.38928e+00,6.25951e+02
1.00000e+05,7.10000e+03,3.88152e+03,-4.42131e+00,5.94138e+02
1.00000e+05,7.20000e+03,3.86736e+03,-4.45305e+00,5.64355e+02
1.00000e+05,7.30000e+03,3.85424e+03,-4.48456e+00,5.36410e+02
1.00000e+05,7.40000e+03,3.84207e+03,-4.51589e+00,5.10135e+02
1.00000e+05,7.50000e+03,3.83079e+03,-4.54709e+00,4.85380e+02
1.00000e+05,7.60000e+03,3.82031e+03,-4.57822e+00,4.62014e+02
1.00000e+05,7.70000e+03,3.81059e+03,-4.60933e+00,4.39919e+02
1.00000e+05,7.80000e+03,3.80156e+03,-4.64048e+00,4.18992e+02
1.00000e+05,7.90000e+03,3.79317e+03,-4.67173e+00,3.99140e+02
1.00000e+05,8.00000e+03,3.78539e+03,-4.70314e+00,3.80279e+02
1.00000e+05,8.10000e+03,3.77816e+03,-4.73476e+00,3.62337e+02
1.00000e+05,8.20000e+03,3.77146e+03,-4.76667e+00,3.45245e+02
1.00000e+05,8.30000e+03,3.76525e+03,-4.79893e+00,3.28944e+02
1.00000e+05,8.40000e+03,3.75949e+03,-4.83163e+00,3.13379e+02
1.00000e+05,8.50000e+03,3.75416e+03,-4.86484e+00,2.98500e+02
1.00000e+05,8.60000e+03,3.74923e+03,-4.89866e+00,2.84263e+02
1.00000e+05,8.70000e+03,3.74468e+03,-4.93319e+00,2.70627e+02
1.00000e+05,8.80000e+03,3.74049e+03,-4.96855e+00,2.57555e+02
1.00000e+05,8.90000e+03,3.73663e+03,-5.00486e+00,2.45012e+02
1.00000e+05,9.00000e+03,3.73309e+03,-5.04229e+00,2.32968e+02
1.00000e+05,9.10000e+03,3.72985e+03,-5.08102e+00,2.21393e+02
1.00000e+05,9.20000e+03,3.72690e+03,-5.12123e+00,2.10262e+02
1.00000e+05,9.30000e+03,3.72421e+03,-5.16319e+00,1.99551e+02
1.00000e+05,9.40000e+03,3.72178e+03,-5.20720e+00,1.89237e+02
