# P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s
1.0,  1400.0,  3.43898,  -4.38784,  1202.03112,  0.0,  0.0,  47.4664,  14.65837,  0.0,  0.0,  0.0,  0.0,  0.0,  1.18123,  0.12973,  25.51531,  2.225,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.81099,  0.63422,  0.01838,  1.36036,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1505.0,  3.42337,  -4.37261,  1214.12116,  0.0,  0.0,  47.66615,  14.34231,  0.0,  0.0,  0.0,  0.0,  0.0,  1.1163,  0.1226,  25.5813,  2.35732,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.48198,  0.67023,  0.02754,  1.63427,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1610.0,  3.40743,  -4.35664,  1226.74937,  0.0,  0.0,  47.82309,  14.1067,  0.0,  0.0,  0.0,  0.0,  0.0,  1.06503,  0.1156,  25.61711,  2.45644,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.21714,  0.69794,  0.04592,  1.85504,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1715.0,  3.39105,  -4.33978,  1240.19944,  0.0,  0.0,  48.00794,  13.872,  0.0,  0.0,  0.0,  0.0,  0.0,  1.02042,  0.11076,  25.60809,  2.55201,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.98701,  0.72653,  0.07357,  2.04165,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1820.0,  3.37417,  -4.3218,  1254.78072,  0.0,  0.0,  48.1938,  13.66077,  0.0,  0.0,  0.0,  0.0,  0.0,  0.98149,  0.10654,  25.56139,  2.64428,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.79973,  0.73764,  0.11065,  2.20371,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1925.0,  3.35674,  -4.30249,  1270.85204,  0.0,  0.0,  48.40035,  13.46961,  0.0,  0.0,  0.0,  0.0,  0.0,  0.95072,  0.10198,  25.45645,  2.72678,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.6422,  0.75044,  0.16676,  2.3347,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2030.0,  3.33865,  -4.2816,  1288.84586,  0.0,  0.0,  48.58156,  13.33224,  0.0,  0.0,  0.0,  0.0,  0.0,  0.91928,  0.09861,  25.33163,  2.78209,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.49402,  0.75554,  0.24252,  2.46251,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2135.0,  3.31979,  -4.25873,  1309.36749,  0.0,  0.0,  48.77182,  13.20732,  0.0,  0.0,  0.0,  0.0,  0.0,  0.89104,  0.09558,  25.17837,  2.83001,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.35911,  0.76156,  0.32907,  2.57613,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2240.0,  3.30001,  -4.2333,  1333.30722,  0.0,  0.0,  48.99786,  13.0892,  0.0,  0.0,  0.0,  0.0,  0.0,  0.86224,  0.09249,  24.96248,  2.87025,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.21864,  0.76996,  0.44677,  2.69012,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2345.0,  3.27915,  -4.2044,  1362.06403,  0.0,  0.0,  49.2635,  12.98098,  0.0,  0.0,  0.0,  0.0,  0.0,  0.83484,  0.08955,  24.674,  2.90113,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.08115,  0.78097,  0.59778,  2.79608,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2450.0,  3.2569,  -4.17034,  1398.16641,  0.0,  0.0,  49.5598,  12.88606,  0.0,  0.0,  0.0,  0.0,  0.0,  0.80317,  0.08718,  24.32202,  2.92318,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.93494,  0.78488,  0.78488,  2.91387,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2555.0,  3.2328,  -4.12683,  1447.66083,  0.0,  0.0,  49.90262,  12.80224,  0.0,  0.0,  0.0,  0.0,  0.0,  0.77329,  0.08394,  23.88353,  2.93646,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.78893,  0.79148,  1.01189,  3.02564,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
