# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
1.000000000000000146e+05,1.600000000000000000e+03,7.787792721361588519e+03,-4.280295666100689900e+00,6.589443463666693788e+02
1.000000000000000146e+05,1.640000000000000000e+03,7.771302042239050934e+03,-4.271239249485878631e+00,6.688352922175834010e+02
1.000000000000000146e+05,1.680000000000000000e+03,7.754499597475342853e+03,-4.262205374275398917e+00,6.789069239844385493e+02
1.000000000000000146e+05,1.720000000000000000e+03,7.737382278233667421e+03,-4.253213647622688498e+00,6.891539872748351172e+02
1.000000000000000146e+05,1.760000000000000000e+03,7.719946687174269755e+03,-4.244263808688031325e+00,6.995753734385192502e+02
1.000000000000000146e+05,1.800000000000000000e+03,7.702189431154110025e+03,-4.235355153038408815e+00,7.101705080402460908e+02
1.000000000000000146e+05,1.840000000000000000e+03,7.684107126505678025e+03,-4.226486777745455115e+00,7.209392951030305312e+02
1.000000000000000146e+05,1.880000000000000000e+03,7.665696391707868315e+03,-4.217657582092090962e+00,7.318821311979955908e+02
1.000000000000000146e+05,1.920000000000000000e+03,7.646953839895003512e+03,-4.208866287651537696e+00,7.429998918336846145e+02
1.000000000000000146e+05,1.960000000000000000e+03,7.627875028932393434e+03,-4.200111551252001973e+00,7.542939723238314400e+02
1.000000000000000146e+05,2.000000000000000000e+03,7.608458626283088961e+03,-4.191391629509391592e+00,7.657660943797573054e+02
1.000000000000000146e+05,2.040000000000000000e+03,7.588699796280327064e+03,-4.182694952893787566e+00,7.774219737715352494e+02
1.000000000000000146e+05,2.080000000000000000e+03,7.568595202650364627e+03,-4.174036664021622656e+00,7.892588807806654359e+02
1.000000000000000146e+05,2.120000000000000000e+03,7.548141337466099685e+03,-4.165406983073208558e+00,8.012825983294978869e+02
1.000000000000000146e+05,2.160000000000000000e+03,7.527334571430736105e+03,-4.156803740956767967e+00,8.134969401798384752e+02
1.000000000000000146e+05,2.200000000000000000e+03,7.506171203254165448e+03,-4.148224545557076759e+00,8.259062439248561986e+02
1.000000000000000146e+05,2.240000000000000000e+03,7.484647449184693869e+03,-4.139666917136179514e+00,8.385153616165605399e+02
1.000000000000000146e+05,2.280000000000000000e+03,7.462759432129691959e+03,-4.131128233941764982e+00,8.513296651224022753e+02
1.000000000000000146e+05,2.320000000000000000e+03,7.440503170366058839e+03,-4.122605774289271885e+00,8.643550638989814843e+02
1.000000000000000146e+05,2.360000000000000000e+03,7.417874565783885373e+03,-4.114096651479256295e+00,8.775980436046933164e+02
1.000000000000000146e+05,2.400000000000000000e+03,7.394869391653633102e+03,-4.105597948884670778e+00,8.910656228511431891e+02
1.000000000000000146e+05,2.440000000000000000e+03,7.371483279933904669e+03,-4.097106533248207505e+00,9.047654602859062152e+02
1.000000000000000146e+05,2.480000000000000000e+03,7.347711707803040554e+03,-4.088619239847467668e+00,9.187057989962058855e+02
1.000000000000000146e+05,2.520000000000000000e+03,7.323549983806660748e+03,-4.080132722962593661e+00,9.328955616612362292e+02
1.000000000000000146e+05,2.560000000000000000e+03,7.298993233325456458e+03,-4.071643564540771365e+00,9.473443318049667141e+02
1.000000000000000146e+05,2.600000000000000000e+03,7.274036383295585438e+03,-4.063148233950372834e+00,9.620623959357711783e+02
1.000000000000000146e+05,2.640000000000000000e+03,7.248674146229461257e+03,-4.054643037796675564e+00,9.770608351787977881e+02
1.000000000000000146e+05,2.680000000000000000e+03,7.222901003684902207e+03,-4.046124212360288297e+00,9.923514903882481804e+02
1.000000000000000146e+05,2.720000000000000000e+03,7.196711188694176599e+03,-4.037587852001412791e+00,1.007947057993864860e+03
1.000000000000000146e+05,2.760000000000000000e+03,7.170098667774355818e+03,-4.029029913360004045e+00,1.023861138203126870e+03
1.000000000000000146e+05,2.800000000000000000e+03,7.143058035529661538e+03,-4.020446243875189118e+00,1.040108224244790108e+03
1.000000000000000146e+05,2.840000000000000000e+03,7.115580833438897571e+03,-4.011832652573146696e+00,1.056703952584379977e+03
1.000000000000000146e+05,2.880000000000000000e+03,7.087661032196201631e+03,-4.003184773805289254e+00,1.073664853675719542e+03
1.000000000000000146e+05,2.920000000000000000e+03,7.059291736115937965e+03,-3.994499973771734158e+00,1.091007016856879090e+03
1.000000000000000146e+05,2.960000000000000000e+03,7.030464615026958199e+03,-3.985770218441923252e+00,1.108752404944565114e+03
1.000000000000000146e+05,3.000000000000000000e+03,7.001171903097555514e+03,-3.976992365615962477e+00,1.126919900023662194e+03
1.000000000000000146e+05,3.040000000000000000e+03,6.971405131260584312e+03,-3.968161587842849336e+00,1.145531141447231676e+03
1.000000000000000146e+05,3.080000000000000000e+03,6.941155392557225241e+03,-3.959273000037233370e+00,1.164609156954019682e+03
1.000000000000000146e+05,3.120000000000000000e+03,6.910413486793057018e+03,-3.950324154436901658e+00,1.184175776442845745e+03
1.000000000000000146e+05,3.160000000000000000e+03,6.879168526301416932e+03,-3.941304154783359159e+00,1.204263450844352519e+03
1.000000000000000146e+05,3.200000000000000000e+03,6.847411817208767388e+03,-3.932211315593320489e+00,1.224896385090213016e+03
1.000000000000000146e+05,3.240000000000000000e+03,6.815131622662131122e+03,-3.923040595626170912e+00,1.246104160262415007e+03
1.000000000000000146e+05,3.280000000000000000e+03,6.782316511955928945e+03,-3.913786939093673922e+00,1.267918129759518933e+03
1.000000000000000146e+05,3.320000000000000000e+03,6.748954487233941109e+03,-3.904445318652592256e+00,1.290371502951571074e+03
1.000000000000000146e+05,3.360000000000000000e+03,6.715032968786396850e+03,-3.895010839976022154e+00,1.313499405080552833e+03
1.000000000000000146e+05,3.400000000000000000e+03,6.680538784853928519e+03,-3.885478755624413250e+00,1.337338787945997410e+03
1.000000000000000146e+05,3.440000000000000000e+03,6.645458167000122558e+03,-3.875844586948262727e+00,1.361928472576450531e+03
1.000000000000000146e+05,3.480000000000000000e+03,6.609776753159924738e+03,-3.866104194592256960e+00,1.387308965655013026e+03
1.000000000000000146e+05,3.520000000000000000e+03,6.573479599937982130e+03,-3.856253849205731665e+00,1.413522438303800072e+03
1.000000000000000146e+05,3.560000000000000000e+03,6.536551207053901635e+03,-3.846290391143257992e+00,1.440612454157482262e+03
1.500000000000000000e+05,1.600000000000000000e+03,8.044508512727877132e+03,-4.348258962655402904e+00,6.317269502767961740e+02
1.500000000000000000e+05,1.640000000000000000e+03,8.029947997230574401e+03,-4.339742240123226402e+00,6.404041210917655462e+02
1.500000000000000000e+05,1.680000000000000000e+03,8.015127366346579947e+03,-4.331286742942983103e+00,6.492214504172015950e+02
1.500000000000000000e+05,1.720000000000000000e+03,8.000044217003156518e+03,-4.322874266230368079e+00,6.581790352952136800e+02
1.500000000000000000e+05,1.760000000000000000e+03,7.984696185458158652e+03,-4.314513231231916990e+00,6.672729311904537326e+02
