# P,T,density,Cp,alpha,liq_water,ice_VI,ice_VII
1.000,300.0,996.55639,4180.59629,-3.56100,1,0,0
1.000,302.0,995.99048,4180.18363,-3.53293,1,0,0
1.000,304.0,995.38897,4179.79289,-3.50742,1,0,0
1.000,306.0,994.75313,4179.49575,-3.48409,1,0,0
1.000,308.0,994.08413,4179.34800,-3.46261,1,0,0
1.000,310.0,993.38298,4179.33723,-3.44269,1,0,0
1.000,312.0,992.65064,4179.43335,-3.42413,1,0,0
1.000,314.0,991.88797,4179.61223,-3.40676,1,0,0
1.000,316.0,991.09582,4179.87123,-3.39047,1,0,0
1.000,318.0,990.27498,4180.21187,-3.37514,1,0,0
1.000,320.0,989.42622,4180.63375,-3.36066,1,0,0
1.000,322.0,988.55023,4181.13074,-3.34693,1,0,0
1.000,324.0,987.64764,4181.69531,-3.33389,1,0,0
1.000,326.0,986.71905,4182.32123,-3.32146,1,0,0
1.000,328.0,985.76505,4183.00785,-3.30959,1,0,0
1.000,330.0,984.78618,4183.75568,-3.29824,1,0,0
1.000,332.0,983.78293,4184.56488,-3.28735,1,0,0
1.000,334.0,982.75581,4185.43478,-3.27689,1,0,0
1.000,336.0,981.70524,4186.36433,-3.26683,1,0,0
1.000,338.0,980.63167,4187.35250,-3.25713,1,0,0
1.000,340.0,979.53548,4188.39998,-3.24776,1,0,0
1.000,342.0,978.41705,4189.50820,-3.23870,1,0,0
1.000,344.0,977.27675,4190.67852,-3.22992,1,0,0
1.000,346.0,976.11490,4191.91225,-3.22142,1,0,0
1.000,348.0,974.93184,4193.21068,-3.21315,1,0,0
1.000,350.0,973.72784,4194.57500,-3.20512,1,0,0
1.000,352.0,972.50320,4196.00664,-3.19730,1,0,0
1.000,354.0,971.25819,4197.50761,-3.18968,1,0,0
1.000,356.0,969.99304,4199.07990,-3.18224,1,0,0
1.000,358.0,968.70800,4200.72547,-3.17498,1,0,0
1.000,360.0,967.40329,4202.44634,-3.16788,1,0,0
1.000,362.0,966.07911,4204.24453,-3.16094,1,0,0
1.000,364.0,964.73566,4206.12200,-3.15413,1,0,0
1.000,366.0,963.37312,4208.08085,-3.14746,1,0,0
1.000,368.0,961.99166,4210.12334,-3.14091,1,0,0
1.000,370.0,960.59144,4212.25165,-3.13449,1,0,0
1.000,372.0,959.17259,4214.46797,-3.12817,1,0,0
1.000,374.0,957.73526,4216.77455,-3.12195,1,0,0
1.000,376.0,956.27958,4219.17362,-3.11583,1,0,0
1.000,378.0,954.80565,4221.66736,-3.10980,1,0,0
1.000,380.0,953.31357,4224.25804,-3.10385,1,0,0
1.000,382.0,951.80345,4226.94800,-3.09799,1,0,0
1.000,384.0,950.27537,4229.73953,-3.09219,1,0,0
1.000,386.0,948.72940,4232.63492,-3.08647,1,0,0
1.000,388.0,947.16560,4235.63654,-3.08081,1,0,0
1.000,390.0,945.58404,4238.74675,-3.07522,1,0,0
1.000,392.0,943.98476,4241.96791,-3.06967,1,0,0
1.000,394.0,942.36779,4245.30238,-3.06419,1,0,0
1.000,396.0,940.73318,4248.75269,-3.05874,1,0,0
1.000,398.0,939.08093,4252.32137,-3.05335,1,0,0
1.000,400.0,937.41106,4256.01090,-3.04799,1,0,0
1.000,402.0,935.72358,4259.82385,-3.04268,1,0,0
1.000,404.0,934.01847,4263.76288,-3.03739,1,0,0
1.000,406.0,932.29573,4267.83065,-3.03214,1,0,0
1.000,408.0,930.55533,4272.02979,-3.02692,1,0,0
1.000,410.0,928.79724,4276.36317,-3.02173,1,0,0
1.000,412.0,927.02142,4280.83379,-3.01655,1,0,0
1.000,414.0,925.22782,4285.44466,-3.01140,1,0,0
